Username,Issue,PR-author,BugReport-author,Commented,Reviewer,Fix-type,Pattern-Structure,Downstream-driven-fix,Scenario
glouppe,scikit-learn/scikit-learn#1458,False,False,True,False,PF4,PS1,True,49
wiredfool,python-pillow/Pillow#350,False,True,True,False,PF4,PS1,True,60
cgohlke,python-pillow/Pillow#350,False,False,True,False,PF4,PS1,True,60
aclark4life,python-pillow/Pillow#350,False,False,True,False,PF4,PS1,True,60
pv,python-pillow/Pillow#350,False,False,True,False,PF4,PS1,True,60
matthew-brett,python-pillow/Pillow#350,False,False,True,False,PF4,PS1,True,60
matthew-brett,python-pillow/Pillow#2058,True,False,True,False,PF4,PS1,True,60
homm,python-pillow/Pillow#2058,False,False,True,False,PF4,PS1,True,60
dpantele,scipy/scipy#2138,False,False,True,False,PF4,PS1,True,60
stefanv,scipy/scipy#2138,False,False,True,False,PF4,PS1,True,60
charris,scipy/scipy#2138,False,False,True,False,PF4,PS1,True,60
rgommers,scipy/scipy#2138,False,False,True,False,PF4,PS1,True,60
pv,scipy/scipy#2138,False,False,True,False,PF4,PS1,True,60
WarrenWeckesser,scipy/scipy#2138,False,False,True,False,PF4,PS1,True,60
WarrenWeckesser,scipy/scipy#5289,True,False,True,False,PF4,PS1,True,60
matthew-brett,scipy/scipy#5289,False,False,True,False,PF4,PS1,True,60
rgommers,scipy/scipy#5289,False,False,True,False,PF4,PS1,True,60
charris,numpy/numpy#2410,False,False,True,False,PF6,PS1,False,65
seberg,numpy/numpy#2410,False,False,True,False,PF6,PS1,False,65
saimn,numpy/numpy#2410,False,False,True,False,PF6,PS1,False,65
mhvk,numpy/numpy#2410,False,False,True,False,PF6,PS1,False,65
embray,numpy/numpy#5982,True,False,True,False,PF6,PS1,False,65
charris,numpy/numpy#5982,False,False,True,False,PF6,PS1,False,65
mhvk,numpy/numpy#5982,False,False,True,False,PF6,PS1,False,65
mhvk,astropy/astropy#3854,False,True,True,False,PF6,PS1,False,65
astrofrog,astropy/astropy#3854,False,False,True,False,PF6,PS1,False,65
embray,astropy/astropy#3854,False,False,True,False,PF6,PS1,False,65
charris,astropy/astropy#3854,False,False,True,False,PF6,PS1,False,65
ahaldane,astropy/astropy#3854,False,False,True,False,PF6,PS1,False,65
embray,astropy/astropy#4228,True,False,True,False,PF6,PS1,False,65
astrofrog,astropy/astropy#4228,False,False,True,False,PF6,PS1,False,65
mhvk,astropy/astropy#4228,False,False,True,False,PF6,PS1,False,65
jdfreder,codemirror/codemirror5#2410,False,True,True,False,PF6,PS1,False,69
marijnh,codemirror/codemirror5#2410,False,False,True,False,PF6,PS1,False,69
nicbou,codemirror/codemirror5#2410,False,False,True,False,PF6,PS1,False,69
samwhitehall,ipython/ipython#5135,False,True,False,False,PF6,PS1,False,69
jdfreder,ipython/ipython#5135,False,False,True,False,PF6,PS1,False,69
jdfreder,ipython/ipython#5479,True,False,True,False,PF6,PS1,False,69
ellisonbg,ipython/ipython#5479,False,False,True,False,PF6,PS1,False,69
ev-br,scipy/scipy#3330,False,True,True,False,PF6,PS1,False,61
pv,scipy/scipy#3330,False,False,True,False,PF6,PS1,False,61
rgommers,scipy/scipy#3330,False,False,True,False,PF6,PS1,False,61
jnothman,scipy/scipy#3330,False,False,True,False,PF6,PS1,False,61
pv,scipy/scipy#3408,True,False,False,False,PF6,PS1,False,61
rgommers,scipy/scipy#3408,False,False,True,False,PF6,PS1,False,61
ogrisel,scikit-learn/scikit-learn#2663,False,True,True,False,PF8,PS1,False,75
dengemann,scikit-learn/scikit-learn#2663,False,False,True,False,PF8,PS1,False,75
agramfort,scikit-learn/scikit-learn#2663,False,False,True,False,PF8,PS1,False,75
agramfort,scikit-learn/scikit-learn#2664,True,False,True,False,PF8,PS1,False,75
ogrisel,scikit-learn/scikit-learn#2664,False,False,True,False,PF8,PS1,False,75
dengemann,scikit-learn/scikit-learn#2664,False,False,True,False,PF8,PS1,False,75
jnothman,scikit-learn/scikit-learn#2664,False,False,True,False,PF8,PS1,False,75
dengemann,mne-tools/mne-python#985,False,True,True,False,PF8,PS1,False,75
agramfort,mne-tools/mne-python#985,False,False,True,False,PF8,PS1,False,75
davidbrough1,scikit-learn/scikit-learn#3984,False,True,True,False,PF1,PS1,True,77
amueller,scikit-learn/scikit-learn#3984,False,False,True,False,PF1,PS1,True,77
raghavrv,scikit-learn/scikit-learn#3984,False,False,True,False,PF1,PS1,True,77
amueller,scikit-learn/scikit-learn#3987,True,False,False,False,PF1,PS1,True,77
agramfort,scikit-learn/scikit-learn#3987,False,False,True,False,PF1,PS1,True,77
jnothman,scikit-learn/scikit-learn#3987,False,False,True,False,PF1,PS1,True,77
wd15,materialsinnovation/pymks#132,False,True,True,False,PF1,PS1,True,77
davidbrough1,materialsinnovation/pymks#132,False,False,True,False,PF1,PS1,True,77
davidbrough1,materialsinnovation/pymks#134,True,False,False,False,PF1,PS1,True,77
wd15,materialsinnovation/pymks#134,False,False,True,False,PF1,PS1,True,77
amueller,scikit-learn/scikit-learn#5045,False,True,True,False,PF2,PS1,False,78
jmetzen,scikit-learn/scikit-learn#5045,False,False,True,False,PF2,PS1,False,78
GaelVaroquaux,scikit-learn/scikit-learn#5045,False,False,True,False,PF2,PS1,False,78
amueller,scikit-learn/scikit-learn#5047,True,False,True,False,PF2,PS1,False,78
GaelVaroquaux,scikit-learn/scikit-learn#5047,False,False,True,False,PF2,PS1,False,78
TomDLT,scikit-learn/scikit-learn#5047,False,False,True,False,PF2,PS1,False,78
arjoly,scikit-learn/scikit-learn#5047,False,False,True,False,PF2,PS1,False,78
FRidh,NixOS/nixpkgs#9146,False,True,True,False,PF2,PS1,False,78
bjornfor,NixOS/nixpkgs#9146,False,False,True,False,PF2,PS1,False,78
FRidh,NixOS/nixpkgs#10255,True,False,True,False,PF2,PS1,False,78
domenkozar,NixOS/nixpkgs#10255,False,False,True,False,PF2,PS1,False,78
garbas,NixOS/nixpkgs#10255,False,False,True,False,PF2,PS1,False,78
amueller,scikit-learn/scikit-learn#5049,True,False,True,False,PF2,PS1,False,78
GaelVaroquaux,scikit-learn/scikit-learn#5049,False,False,True,False,PF2,PS1,False,78
jmetzen,scikit-learn/scikit-learn#5049,False,False,True,False,PF2,PS1,False,78
TomDLT,scikit-learn/scikit-learn#5049,False,False,True,False,PF2,PS1,False,78
agramfort,scikit-learn/scikit-learn#5049,False,False,True,False,PF2,PS1,False,78
josef-pkt,scipy/scipy#2667,False,True,True,False,PF4,PS1,True,81
rgommers,scipy/scipy#2667,False,False,True,False,PF4,PS1,True,81
cairijun,scipy/scipy#3222,True,False,True,False,PF4,PS1,True,81
pv,scipy/scipy#3222,False,False,True,False,PF4,PS1,True,81
ev-br,scipy/scipy#3222,False,False,True,False,PF4,PS1,True,81
josef-pkt,statsmodels/statsmodels#1011,False,True,False,False,PF4,PS1,True,81
josef-pkt,statsmodels/statsmodels#997,True,False,True,False,PF4,PS1,True,81
jseabold,statsmodels/statsmodels#997,False,False,True,False,PF4,PS1,True,81
swails,scipy/scipy#3630,False,True,True,False,PF4,PS1,True,84
pv,scipy/scipy#3630,False,False,True,False,PF4,PS1,True,84
gauteh,scipy/scipy#3630,False,False,True,False,PF4,PS1,True,84
andreas-h,scipy/scipy#3630,False,False,True,False,PF4,PS1,True,84
rgommers,scipy/scipy#3630,False,False,True,False,PF4,PS1,True,84
pv,scipy/scipy#3960,True,False,True,False,PF4,PS1,True,84
WeatherGod,scipy/scipy#3960,False,False,True,False,PF4,PS1,True,84
rgommers,scipy/scipy#3960,False,False,True,False,PF4,PS1,True,84
martinclaus,Try2Code/cdo-bindings#4,False,True,True,False,PF4,PS1,True,84
Try2Code,Try2Code/cdo-bindings#4,False,False,True,False,PF4,PS1,True,84
martinclaus,Try2Code/cdo-bindings#5,True,False,True,False,PF4,PS1,True,84
revoltek,scipy/scipy#4233,False,True,False,False,PF4,PS1,True,85
maniteja123,scipy/scipy#4233,False,False,True,False,PF4,PS1,True,85
ev-br,scipy/scipy#5201,True,False,False,False,PF4,PS1,True,85
