username,project,scenario,max_inv
ogrisel,scikit-learn/scikit-learn,19,3
ogrisel,scikit-learn/scikit-learn,49,2
oliche,ContinuumIO/anaconda-issues,59,2
omarocegueda,nipy/dipy,72,2
oxsem,ContinuumIO/anaconda-issues,59,2
oxsem,scipy/scipy,59,2
pengzhxyz,ContinuumIO/anaconda-issues,59,2
peterkroon,codemirror/codemirror5,16,2
pkra,mathjax/MathJax,56,2
pprett,scikit-learn/scikit-learn,49,2
pv,astropy/astropy,12,2
pv,numpy/numpy,12,3
pv,scipy/scipy,20,2
pv,numpy/numpy,49,2
pv,scipy/scipy,59,2
pv,python-pillow/Pillow,60,2
pv,scipy/scipy,60,2
pv,numpy/numpy,72,2
pv,scipy/scipy,72,2
pv,scipy/scipy,80,2
pv,scipy/scipy,81,2
pv,scipy/scipy,84,3
pv,scipy/scipy,85,2
raghavrv,scikit-learn/scikit-learn,77,2
rasmi,astropy/astropy,33,2
revoltek,scipy/scipy,85,2
rgommers,pypa/pip,20,2
rgommers,scipy/scipy,20,2
rgommers,scipy/scipy,21,3
rgommers,scipy/scipy,60,2
rgommers,numpy/numpy,61,2
rgommers,scipy/scipy,72,2
rgommers,scipy/scipy,80,2
rgommers,scipy/scipy,81,2
rgommers,scipy/scipy,84,2
rhaxton,ContinuumIO/anaconda-issues,59,2
richardgmcmahon,GalSim-developers/GalSim,48,2
richardgmcmahon,astropy/astropy,48,3
rmjarvis,GalSim-developers/GalSim,48,2
roessland,ContinuumIO/anaconda-issues,59,2
saulomeirelles,scipy/scipy,59,2
saulomeirelles,wesleybowman/UTide,59,2
seberg,numpy/numpy,12,2
seberg,numpy/numpy,42,2
seberg,numpy/numpy,49,3
seberg,scikit-learn/scikit-learn,49,3
shoyer,pandas-dev/pandas,33,2
stefanv,numpy/numpy,49,2
stefanv,scipy/scipy,60,2
swails,scipy/scipy,84,2
tacaswell,matplotlib/matplotlib,4,2
taldcroft,astropy/astropy,7,2
taldcroft,astropy/astropy,33,2
taldcroft,astropy/astropy,70,3
tvt173,ContinuumIO/anaconda-issues,59,2
wd15,materialsinnovation/pymks,77,2
wholmgren,ContinuumIO/anaconda-issues,59,2
wiredfool,python-pillow/Pillow,47,2
wiredfool,scipy/scipy,47,2
wiredfool,python-pillow/Pillow,60,2
youkilee,ContinuumIO/anaconda-issues,59,2
