GitHub-Issue,PR,Fix-type,Pattern-Structure,Downstream-driven-fix,Scenario,ID
numpy/numpy#6019,True,PF2,PS3,False,51,PS3-10
astropy/astropy#3877,False,PF2,PS3,False,51,PS3-10
numpy/numpy#3793,False,PF2,PS3,False,52,PS3-11
numpy/numpy#3800,True,PF2,PS3,False,52,PS3-11
scipy/scipy#2930,False,PF2,PS3,False,52,PS3-11
joblib/joblib#258,False,PF2,PS3,False,54,PS3-12
joblib/joblib#259,True,PF2,PS3,False,54,PS3-12
scikit-learn/scikit-learn#542,False,PF2,PS3,False,54,PS3-12
joblib/joblib#66,False,PF2,PS3,False,57,PS3-13
joblib/joblib#260,True,PF2,PS3,False,57,PS3-13
scikit-learn/scikit-learn#1414,False,PF2,PS3,False,57,PS3-13
numpy/numpy#2056,False,PF2,PS3,False,62,PS3-14
numpy/numpy#5858,True,PF2,PS3,False,62,PS3-14
scipy/scipy#3354,False,PF2,PS3,False,62,PS3-14
numpy/numpy#4778,False,PF2,PS3,False,74,PS3-15
numpy/numpy#4782,True,PF2,PS3,False,74,PS3-15
astropy/astropy#2281,False,PF2,PS3,False,74,PS3-15
scipy/scipy#2573,False,PF2,PS3,False,79,PS3-16
CellProfiler/CellProfiler#662,False,PF2,PS3,False,79,PS3-16
scipy/scipy#3522,False,PF2,PS3,False,83,PS3-17
scipy/scipy#3523,True,PF2,PS3,False,83,PS3-17
statsmodels/statsmodels#1548,False,PF2,PS3,False,83,PS3-17
numpy/numpy#5251,True,PF4,PS4,True,7,PS4-1
astropy/astropy#3052,True,PF4,PS4,True,7,PS4-1
numpy/numpy#4586,True,PF1,PS4,True,70,PS4-2
astropy/astropy#3023,True,PF1,PS4,True,70,PS4-2
numpy/numpy#7156,True,PF2,PS4,False,71,PS4-3
astropy/astropy#4543,True,PF2,PS4,False,71,PS4-3
numpy/numpy#5921,True,PF2,PS5,False,5,PS5-1
astropy/astropy#3803,False,PF2,PS5,False,5,PS5-1
numpy/numpy#4847,True,PF2,PS5,False,10,PS5-2
astropy/astropy#2693,False,PF2,PS5,False,10,PS5-2
astropy/astropy-helpers#144,True,PF2,PS5,False,15,PS5-3
astropy/astropy#3541,False,PF2,PS5,False,15,PS5-3
numpy/numpy#3907,True,PF2,PS5,False,35,PS5-4
astropy/astropy#2701,False,PF2,PS5,False,35,PS5-4
